nav_date,nav_per_token,source
2026-01-06,1.000549,fund_admin
2026-01-07,1.000844,fund_admin
2026-01-08,1.001453,fund_admin
2026-01-09,1.002414,fund_admin
2026-01-12,1.002671,fund_admin
2026-01-13,1.002928,fund_admin
2026-01-14,1.003912,fund_admin
2026-01-15,1.004572,fund_admin
2026-01-16,1.004735,fund_admin
2026-01-19,1.005304,fund_admin
2026-01-20,1.00547,fund_admin
2026-01-21,1.005635,fund_admin
2026-01-22,1.006084,fund_admin
2026-01-23,1.005666,fund_admin
2026-01-26,1.005324,fund_admin
2026-01-27,1.00545,fund_admin
2026-01-28,1.005394,fund_admin
2026-01-29,1.005873,fund_admin
2026-01-30,1.005859,fund_admin
2026-02-02,1.005643,fund_admin
2026-02-03,1.006585,fund_admin
2026-02-04,1.006846,fund_admin
2026-02-05,1.007226,fund_admin
2026-02-06,1.007004,fund_admin
2026-02-09,1.007138,fund_admin
2026-02-10,1.007535,fund_admin
2026-02-11,1.007423,fund_admin
2026-02-12,1.007927,fund_admin
2026-02-13,1.008038,fund_admin
2026-02-16,1.008273,fund_admin
2026-02-17,1.008383,fund_admin
2026-02-18,1.009484,fund_admin
2026-02-19,1.009831,fund_admin
2026-02-20,1.009758,fund_admin
2026-02-23,1.010443,fund_admin
2026-02-25,1.010741,fund_admin
2026-02-26,1.010303,fund_admin
2026-02-27,1.01012,fund_admin
2026-03-02,1.010553,fund_admin
2026-03-03,1.011205,fund_admin
2026-03-04,1.011628,fund_admin
2026-03-05,1.011936,fund_admin
2026-03-06,1.012168,fund_admin
2026-03-09,1.092878,fund_admin
2026-03-10,1.011986,fund_admin
2026-03-11,1.012154,fund_admin
2026-03-12,1.012936,fund_admin
2026-03-13,1.01343,fund_admin
2026-03-16,1.01307,fund_admin
2026-03-17,1.013556,fund_admin
2026-03-18,1.013755,fund_admin
2026-03-19,1.013835,fund_admin
2026-03-20,1.014438,fund_admin
2026-03-23,1.015211,fund_admin
2026-03-24,1.015945,fund_admin
2026-03-25,1.015959,fund_admin
2026-03-26,1.016189,fund_admin
2026-03-27,1.01668,fund_admin
2026-03-30,1.017432,fund_admin
2026-03-31,1.017593,fund_admin
2026-04-01,1.017874,fund_admin
2026-04-02,1.01778,fund_admin
2026-04-03,1.017649,fund_admin
